publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
nitrogen deposition and herbivory affect biomass production and allocation in an annual plant,asteraceae,ambrosia,artemisiifolia,forb,annual,north america,hemiptera,aphididae,uroleucon,tuataiae,unclear,monophagous,northeastern us,unclear,cage,figure 1,native,native,no,a,,ambrosia_artemisiifolia,uroleucon_tuataiae,biomass,stem,mass,g,x,sd,8.285,1.576,8,9.714,1.54,8,0.867114497,0.273496486
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,aphis ,fabae,unclear,polyphagous,mediterranean,unclear,cage,figure 3,native,native,no,a,piccola,vicia_faba,aphis _fabae,biomass,whole organism,mass,g,x,sd,0.617,0.166276878,12,0.525,0.117779455,12,-0.616501569,0.174584879
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,aphis ,fabae,unclear,polyphagous,mediterranean,unclear,cage,figure 3,native,native,no,a,hangdown,vicia_faba,aphis _fabae,biomass,whole organism,mass,g,x,sd,0.907,0.180133284,12,0.835,0.23555891,12,-0.331531023,0.168956517
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,aphis ,fabae,unclear,polyphagous,mediterranean,unclear,cage,figure 3,native,native,no,a,dreifach,vicia_faba,aphis _fabae,biomass,whole organism,mass,g,x,sd,0.756,0.180133284,12,0.811,0.142028166,12,0.327387655,0.168899639
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,aphis ,fabae,unclear,polyphagous,mediterranean,unclear,cage,figure 3,native,native,no,a,perla,vicia_faba,aphis _fabae,biomass,whole organism,mass,g,x,sd,0.657,0.180133284,12,0.693,0.187061487,12,0.189286112,0.167413109
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,syriaca,forb,perennial,"southern canada and of much of the conterminous eastern u.s., east of the rocky mountains",hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,50 aphid,asclepias_syriaca,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.867,0.310557563,14,0.678,0.340490822,14,-0.563096424,0.148519243
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,syriaca,forb,perennial,"southern canada and of much of the conterminous eastern u.s., east of the rocky mountains",hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,1 aphid,asclepias_syriaca,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.867,0.310557563,14,0.812,0.340490822,14,-0.163864039,0.143336633
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,syriaca,forb,perennial,"southern canada and of much of the conterminous eastern u.s., east of the rocky mountains",hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,25 aphid,asclepias_syriaca,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.867,0.310557563,14,0.907,0.190824527,14,0.150674806,0.143262552
a facultative mutualism between aphids and an invasive ant increases plant reproduction,malvaceae,gossypium,hirsutum,forb,perennial,central and south america,hemiptera,aphididae,aphis,gossypii,both,polyphagous,unknown,adult,cage,figure 3,native,native,no,a,,gossypium_hirsutum,aphis_gossypii,number of,seed,count,count,x,sd,520.842,85.0776737,18,621.938,85.0776737,18,1.16187265,0.12986039
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,viridis,forb,perennial,southcentral and southeastern united states,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,50 aphid,asclepias_viridis,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.158,0.164972725,21,0.052,0.087068938,21,-0.788455951,0.102638843
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,incarnata,forb,perennial,north america,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,50 aphid,asclepias_incarnata,aphis_nerii,biomass,whole organism,mass,g,x,sd,1.407,0.435344691,21,1.124,0.288702269,21,-0.751705675,0.101965017
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,viridis,forb,perennial,southcentral and southeastern united states,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,25 aphid,asclepias_viridis,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.158,0.164972725,21,0.075,0.036660606,21,-0.681461716,0.100766548
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,tuberosa,forb,perennial,eastern north america,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,50 aphid,asclepias_tuberosa,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.359,0.215381058,21,0.276,0.109981817,21,-0.476209787,0.097937807
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,tuberosa,forb,perennial,eastern north america,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,25 aphid,asclepias_tuberosa,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.359,0.215381058,21,0.288,0.109981817,21,-0.40736018,0.097213599
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,incarnata,forb,perennial,north america,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,25 aphid,asclepias_incarnata,aphis_nerii,biomass,whole organism,mass,g,x,sd,1.407,0.435344691,21,1.321,0.197050755,21,-0.249710389,0.09598042
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,incarnata,forb,perennial,north america,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,1 aphid,asclepias_incarnata,aphis_nerii,biomass,whole organism,mass,g,x,sd,1.407,0.435344691,21,1.47,0.238293936,21,0.176133871,0.095607418
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,viridis,forb,perennial,southcentral and southeastern united states,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,1 aphid,asclepias_viridis,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.158,0.164972725,21,0.15,0.128312119,21,-0.053111815,0.095271677
"interspecific variation within the genus asclepias in response to herbivory by a phloem-feeding insect herbivore,",apocynaceae,asclepias,tuberosa,forb,perennial,eastern north america,hemiptera,aphididae,aphis,nerii,unclear,monophagous,north america,unclear,cage,fig 2,native,native,no,a,1 aphid,asclepias_tuberosa,aphis_nerii,biomass,whole organism,mass,g,x,sd,0.359,0.215381058,21,0.351,0.146642422,21,-0.042601016,0.095259701
effects of simulated heat waves on an experimental plant_herbivore_predator food chain,solanaceae,capsicum,annuum,forb,perennial,central america,hemiptera,aphididae,myzus,persicae,unclear,polyphagous,probably asia,adult,cage,figure 2,native,invasive,no,b,,capsicum_annuum,myzus_persicae,biomass,stem,mass,g,x,sd,0.01755,0.000502295,3,0.01487,0.00032909,3,-5.049250506,2.791244223
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,acyrthosiphon,pisum,unclear,monophagous,unknown,unclear,cage,figure 3,native,introduced,no,b,piccola,vicia_faba,acyrthosiphon_pisum,biomass,whole organism,mass,g,x,sd,0.617,0.166276878,12,0.433,0.19398969,12,-0.983337907,0.18681153
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,acyrthosiphon,pisum,unclear,monophagous,unknown,unclear,cage,figure 3,native,introduced,no,b,hangdown,vicia_faba,acyrthosiphon_pisum,biomass,whole organism,mass,g,x,sd,0.907,0.180133284,12,0.747,0.239023011,12,-0.729943902,0.177767044
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,acyrthosiphon,pisum,unclear,monophagous,unknown,unclear,cage,figure 3,native,introduced,no,b,perla,vicia_faba,acyrthosiphon_pisum,biomass,whole organism,mass,g,x,sd,0.657,0.180133284,12,0.578,0.173205081,12,-0.431661043,0.170548568
plant genetic variation mediates an indirect ecological effect between belowground earthworms and aboveground aphids,fabaceae,vicia,faba,forb,annual,mediterranean ,hemiptera,aphididae,acyrthosiphon,pisum,unclear,monophagous,unknown,unclear,cage,figure 3,native,introduced,no,b,dreifach,vicia_faba,acyrthosiphon_pisum,biomass,whole organism,mass,g,x,sd,0.756,0.180133284,12,0.702,0.211310199,12,-0.265547124,0.168135735
selection of preadapted populations allowed senecio inaequidens to invade central europe,asteraceae,senecio,inaequidens,forb,perennial,south africa,hemiptera,aphididae,aulacorthum,solani,unclear,polyphagous,,unclear,cage,figure 2-b,invasive,native,no,c,,senecio_inaequidens,aulacorthum_solani,biomass,stem,count,count,x,sd,3.292,0.21,5,2.302,0.209,5,-4.268214805,1.310882881
selection of preadapted populations allowed senecio inaequidens to invade central europe,asteraceae,senecio,inaequidens,forb,perennial,south africa,hemiptera,aphididae,aulacorthum,solani,unclear,polyphagous,,unclear,cage,figure 2-a,invasive,native,no,c,,senecio_inaequidens,aulacorthum_solani,biomass,stem,count,count,x,sd,4.588,0.202,5,4.164,0.208,5,-1.86793532,0.574459118
effects of aphid herbivory on biomass and leaf-level physiology of solanum dulcamara under elevated temperature and co2,solanaceae,solanum,dulcamara,forb,perennial,"northern africa, europe, and asia",hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,invasive,native,no,c,23*c,solanum_dulcamara,macrosiphum_euphorbiae,biomass,whole organism,mass,g,x,sd,1.582,1.147906791,10,0.781,0.894924578,10,-0.74537641,0.21388965
effects of aphid herbivory on biomass and leaf-level physiology of solanum dulcamara under elevated temperature and co2,solanaceae,solanum,dulcamara,forb,perennial,"northern africa, europe, and asia",hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,invasive,native,no,c,,solanum_dulcamara,macrosiphum_euphorbiae,biomass,whole organism,mass,g,x,sd,0.667,0.749459805,10,0.464,0.464854816,10,-0.311769204,0.202430001
effects of aphid herbivory on biomass and leaf-level physiology of solanum dulcamara under elevated temperature and co2,solanaceae,solanum,dulcamara,forb,perennial,"northern africa, europe, and asia",hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,invasive,native,no,c,26*c,solanum_dulcamara,macrosiphum_euphorbiae,biomass,whole organism,mass,g,x,sd,2.679,0.992955185,10,2.414,2.947242779,10,-0.115411425,0.200332995
indirect effects mediated by compensatory shoot growth on subsequent generations of a willow spittlebug,salicaceae,salix,miyabeana,tree,perennial,northern japan,hemiptera,aphrophoridae,aphrophora,pectoralis,unclear,,no clue,unclear,natural field study/survey,figure 2,native,,no,a,,salix_miyabeana,aphrophora_pectoralis,length,stem,length,m,x,sd,0.0856,0.019811562,5,0.12904,0.020437661,5,1.949423085,0.590012518
